epoch,train_loss,val_loss,test_loss,train_prec1,val_prec1,test_prec1,train_prec5,val_prec5,test_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
130,"tensor(0.0699, device='cuda:0')","tensor(0.3546, device='cuda:0')","tensor(0.3676, device='cuda:0')","tensor(97.6400, device='cuda:0')","tensor(90.2000, device='cuda:0')","tensor(89.9500, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.7400, device='cuda:0')","tensor(99.6800, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
131,"tensor(0.0722, device='cuda:0')","tensor(0.3533, device='cuda:0')","tensor(0.3735, device='cuda:0')","tensor(97.5178, device='cuda:0')","tensor(90.2000, device='cuda:0')","tensor(89.9300, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.5600, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
132,"tensor(0.0687, device='cuda:0')","tensor(0.3502, device='cuda:0')","tensor(0.3649, device='cuda:0')","tensor(97.7200, device='cuda:0')","tensor(90.5800, device='cuda:0')","tensor(90.0400, device='cuda:0')","tensor(99.9844, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.6000, device='cuda:0')",132,"tensor(90.5800, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
133,"tensor(0.0657, device='cuda:0')","tensor(0.3668, device='cuda:0')","tensor(0.3774, device='cuda:0')","tensor(97.7889, device='cuda:0')","tensor(90.6000, device='cuda:0')","tensor(89.8700, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.5400, device='cuda:0')","tensor(99.5700, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
134,"tensor(0.0663, device='cuda:0')","tensor(0.3756, device='cuda:0')","tensor(0.3807, device='cuda:0')","tensor(97.7289, device='cuda:0')","tensor(90.0600, device='cuda:0')","tensor(89.6300, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6600, device='cuda:0')","tensor(99.6400, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
135,"tensor(0.0639, device='cuda:0')","tensor(0.3515, device='cuda:0')","tensor(0.3690, device='cuda:0')","tensor(97.8200, device='cuda:0')","tensor(90.5600, device='cuda:0')","tensor(89.9400, device='cuda:0')","tensor(100., device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5300, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
136,"tensor(0.0635, device='cuda:0')","tensor(0.3741, device='cuda:0')","tensor(0.3759, device='cuda:0')","tensor(97.7933, device='cuda:0')","tensor(90.0400, device='cuda:0')","tensor(90.0600, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.5500, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
137,"tensor(0.0620, device='cuda:0')","tensor(0.3689, device='cuda:0')","tensor(0.3680, device='cuda:0')","tensor(97.8844, device='cuda:0')","tensor(90.5200, device='cuda:0')","tensor(90.2000, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.5300, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",137,"tensor(90.2000, device='cuda:0')"
138,"tensor(0.0618, device='cuda:0')","tensor(0.3623, device='cuda:0')","tensor(0.3683, device='cuda:0')","tensor(97.8556, device='cuda:0')","tensor(90.2800, device='cuda:0')","tensor(89.8000, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5900, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",137,"tensor(90.2000, device='cuda:0')"
139,"tensor(0.0619, device='cuda:0')","tensor(0.3519, device='cuda:0')","tensor(0.3591, device='cuda:0')","tensor(97.8267, device='cuda:0')","tensor(90.5600, device='cuda:0')","tensor(90.3800, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.6300, device='cuda:0')",133,"tensor(90.6000, device='cuda:0')",139,"tensor(90.3800, device='cuda:0')"
